timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1499135956341,72,16 /group.php,200,OK,LoadGroupList 1-1,text,true,,12530,371,1,1,70,0,1
1499135956413,16,17 /group.php,200,OK,LoadGroupList 1-1,text,true,,2494,455,1,1,16,0,0
1499135956429,28,18 /group.php,200,OK,LoadGroupList 1-1,text,true,,2428,540,1,1,28,0,0
1499135956457,53,16 /group.php,200,OK,LoadGroupList 1-1,text,true,,12528,371,1,1,50,0,0
1499135956510,25,17 /group.php,200,OK,LoadGroupList 1-1,text,true,,2494,455,1,1,25,0,0
1499135956535,26,18 /group.php,200,OK,LoadGroupList 1-1,text,true,,2428,540,1,1,26,0,0
1499135956561,52,16 /group.php,200,OK,LoadGroupList 1-1,text,true,,12534,371,2,2,50,0,0
1499135956613,19,17 /group.php,200,OK,LoadGroupList 1-1,text,true,,2494,455,2,2,19,0,0
1499135956589,56,16 /group.php,200,OK,LoadGroupList 1-2,text,true,,12535,371,2,2,53,0,1
1499135956633,29,18 /group.php,200,OK,LoadGroupList 1-1,text,true,,2428,540,2,2,29,0,0
1499135956647,18,17 /group.php,200,OK,LoadGroupList 1-2,text,true,,2494,455,2,2,18,0,0
1499135956666,28,18 /group.php,200,OK,LoadGroupList 1-2,text,true,,2428,540,2,2,28,0,0
1499135956662,55,16 /group.php,200,OK,LoadGroupList 1-1,text,true,,12540,371,2,2,53,0,0
1499135956717,15,17 /group.php,200,OK,LoadGroupList 1-1,text,true,,2494,455,2,2,15,0,0
1499135956695,57,16 /group.php,200,OK,LoadGroupList 1-2,text,true,,12553,371,2,2,55,0,0
1499135956752,16,17 /group.php,200,OK,LoadGroupList 1-2,text,true,,2494,455,2,2,16,0,0
1499135956732,37,18 /group.php,200,OK,LoadGroupList 1-1,text,true,,2428,540,2,2,37,0,0
1499135956768,30,18 /group.php,200,OK,LoadGroupList 1-2,text,true,,2428,540,2,2,30,0,0
1499135956769,55,16 /group.php,200,OK,LoadGroupList 1-1,text,true,,12553,371,2,2,52,0,0
1499135956824,20,17 /group.php,200,OK,LoadGroupList 1-1,text,true,,2494,455,3,3,20,0,0
1499135956798,60,16 /group.php,200,OK,LoadGroupList 1-2,text,true,,12562,371,3,3,56,0,0
1499135956844,33,18 /group.php,200,OK,LoadGroupList 1-1,text,true,,2428,540,3,3,33,0,0
1499135956858,20,17 /group.php,200,OK,LoadGroupList 1-2,text,true,,2494,455,3,3,20,0,0
1499135956841,64,16 /group.php,200,OK,LoadGroupList 1-3,text,true,,12563,371,3,3,61,0,0
1499135956878,33,18 /group.php,200,OK,LoadGroupList 1-2,text,true,,2428,540,3,3,33,0,0
1499135956905,20,17 /group.php,200,OK,LoadGroupList 1-3,text,true,,2494,455,3,3,20,0,0
1499135956877,76,16 /group.php,200,OK,LoadGroupList 1-1,text,true,,12568,371,3,3,72,0,0
1499135956925,33,18 /group.php,200,OK,LoadGroupList 1-3,text,true,,2428,540,3,3,33,0,0
1499135956953,19,17 /group.php,200,OK,LoadGroupList 1-1,text,true,,2494,455,3,3,19,0,0
